2014-12-11 03:31:35.451000:precionada la tecla número 1
2014-12-11 03:31:35.467000:precionada la tecla número 0
2014-12-11 03:31:35.979000:precionada la tecla número 1
2014-12-11 03:31:36.203000:precionada la tecla número 2
2014-12-11 03:31:36.443000:precionada la tecla número 1
2014-12-11 03:31:36.651000:precionada la tecla número 0
2014-12-11 03:31:36.875000:precionada la tecla número 0
2014-12-11 03:31:37.115000:precionada la tecla número 1
2014-12-11 03:31:37.339000:precionada la tecla número 1
2014-12-11 03:31:37.579000:precionada la tecla número 0
2014-12-11 03:31:37.803000:precionada la tecla número 0
2014-12-11 03:31:38.027000:precionada la tecla número 1
2014-12-11 03:31:38.251000:precionada la tecla número 0
2014-12-11 03:31:38.715000:precionada la tecla número 1
2014-12-11 03:31:38.731000:precionada la tecla número 0
2014-12-11 03:31:40.018000:cierre por escape
2014-12-11 03:31:52.522000:iniciado modo de juego de la canción: songs/menu.ogg
2014-12-11 03:31:52.563000:cargada canción con 46 pasos
2014-12-11 03:31:55.842000:precionada la tecla número 2
2014-12-11 03:31:56.082000:precionada la tecla número 1
2014-12-11 03:31:56.594000:precionada la tecla número 2
2014-12-11 03:31:56.930000:precionada la tecla número 1
2014-12-11 03:31:57.378000:precionada la tecla número 2
2014-12-11 03:31:57.794000:precionada la tecla número 1
2014-12-11 03:31:58.002000:precionada la tecla número 2
2014-12-11 03:31:58.194000:precionada la tecla número 2
2014-12-11 03:31:58.418000:precionada la tecla número 1
2014-12-11 03:31:58.610000:precionada la tecla número 1
2014-12-11 03:31:59.058000:precionada la tecla número 2
2014-12-11 03:31:59.474000:precionada la tecla número 1
2014-12-11 03:31:59.682000:precionada la tecla número 2
2014-12-11 03:31:59.858000:precionada la tecla número 2
2014-12-11 03:32:00.082000:precionada la tecla número 1
2014-12-11 03:32:00.306000:precionada la tecla número 3
2014-12-11 03:32:00.738000:precionada la tecla número 2
2014-12-11 03:32:00.931000:precionada la tecla número 2
2014-12-11 03:32:01.155000:precionada la tecla número 1
2014-12-11 03:32:01.347000:precionada la tecla número 2
2014-12-11 03:32:01.539000:precionada la tecla número 2
2014-12-11 03:32:01.795000:precionada la tecla número 1
2014-12-11 03:32:02.003000:precionada la tecla número 0
2014-12-11 03:32:02.435000:precionada la tecla número 2
2014-12-11 03:32:02.867000:precionada la tecla número 1
2014-12-11 03:32:03.299000:precionada la tecla número 2
2014-12-11 03:32:03.747000:precionada la tecla número 1
2014-12-11 03:32:04.195000:precionada la tecla número 2
2014-12-11 03:32:04.611000:precionada la tecla número 1
2014-12-11 03:32:04.819000:precionada la tecla número 2
2014-12-11 03:32:05.011000:precionada la tecla número 2
2014-12-11 03:32:05.219000:precionada la tecla número 1
2014-12-11 03:32:05.427000:precionada la tecla número 3
2014-12-11 03:32:05.859000:precionada la tecla número 2
2014-12-11 03:32:06.306000:precionada la tecla número 1
2014-12-11 03:32:06.514000:precionada la tecla número 2
2014-12-11 03:32:06.722000:precionada la tecla número 2
2014-12-11 03:32:06.946000:precionada la tecla número 1
2014-12-11 03:32:07.154000:precionada la tecla número 3
2014-12-11 03:32:07.554000:precionada la tecla número 2
2014-12-11 03:32:07.762000:precionada la tecla número 2
2014-12-11 03:32:07.970000:precionada la tecla número 2
2014-12-11 03:32:08.146000:precionada la tecla número 2
2014-12-11 03:32:08.354000:precionada la tecla número 2
2014-12-11 03:32:08.578000:precionada la tecla número 1
2014-12-11 03:32:08.786000:precionada la tecla número 0
2014-12-11 03:32:31.473000:iniciado modo de juego de la canción: songs/menu.ogg
2014-12-11 03:32:31.478000:cargada canción con 46 pasos
2014-12-11 03:32:34.532000:precionada la tecla número 2
2014-12-11 03:32:34.980000:precionada la tecla número 1
2014-12-11 03:32:35.396000:precionada la tecla número 2
2014-12-11 03:32:35.845000:precionada la tecla número 1
2014-12-11 03:32:36.277000:precionada la tecla número 2
2014-12-11 03:32:36.677000:precionada la tecla número 1
2014-12-11 03:32:36.885000:precionada la tecla número 2
2014-12-11 03:32:37.077000:precionada la tecla número 2
2014-12-11 03:32:37.301000:precionada la tecla número 1
2014-12-11 03:32:37.525000:precionada la tecla número 3
2014-12-11 03:32:37.973000:precionada la tecla número 2
2014-12-11 03:32:38.405000:precionada la tecla número 1
2014-12-11 03:32:38.597000:precionada la tecla número 2
2014-12-11 03:32:38.789000:precionada la tecla número 2
2014-12-11 03:32:38.997000:precionada la tecla número 1
2014-12-11 03:32:39.221000:precionada la tecla número 3
2014-12-11 03:32:39.653000:precionada la tecla número 2
2014-12-11 03:32:39.861000:precionada la tecla número 2
2014-12-11 03:32:40.085000:precionada la tecla número 1
2014-12-11 03:32:40.293000:precionada la tecla número 2
2014-12-11 03:32:40.501000:precionada la tecla número 2
2014-12-11 03:32:40.709000:precionada la tecla número 1
2014-12-11 03:32:40.933000:precionada la tecla número 0
2014-12-11 03:32:41.380000:precionada la tecla número 2
2014-12-11 03:32:41.796000:precionada la tecla número 1
2014-12-11 03:32:42.212000:precionada la tecla número 2
2014-12-11 03:32:42.660000:precionada la tecla número 1
2014-12-11 03:32:43.092000:precionada la tecla número 2
2014-12-11 03:32:43.524000:precionada la tecla número 1
2014-12-11 03:32:43.732000:precionada la tecla número 2
2014-12-11 03:32:43.924000:precionada la tecla número 2
2014-12-11 03:32:44.132000:precionada la tecla número 1
2014-12-11 03:32:44.340000:precionada la tecla número 3
2014-12-11 03:32:44.772000:precionada la tecla número 2
2014-12-11 03:32:45.220000:precionada la tecla número 1
2014-12-11 03:32:45.428000:precionada la tecla número 2
2014-12-11 03:32:45.620000:precionada la tecla número 2
